v4_gene_model	v3_gene_model
Zm00001d007725	AC148152.3_FG001
Zm00001d007718	AC148152.3_FG005
Zm00001d007717	AC148152.3_FG006
Zm00001d007716	AC148152.3_FG008
Zm00001d018986	AC148167.6_FG001
Zm00001d048402	AC149475.2_FG002
Zm00001d048403	AC149475.2_FG003
Zm00001d048404	AC149475.2_FG005
Zm00001d048407	AC149475.2_FG007
Zm00001d048442	AC149810.2_FG003
Zm00001d048441	AC149810.2_FG004
Zm00001d048342	AC149810.2_FG008
Zm00001d048393	AC149818.2_FG001
Zm00001d048394	AC149818.2_FG004
Zm00001d048396	AC149818.2_FG005
Zm00001d048397	AC149818.2_FG006
Zm00001d048398	AC149818.2_FG007
Zm00001d048400	AC149818.2_FG008
Zm00001d048401	AC149818.2_FG009
Zm00001d048271	AC149828.2_FG002
Zm00001d048273	AC149828.2_FG004
Zm00001d048307	AC149829.2_FG002
Zm00001d048308	AC149829.2_FG003
Zm00001d048309	AC149829.2_FG004
Zm00001d048310	AC149829.2_FG006
Zm00001d048542	AC150739.3_FG001
Zm00001d023317	AC152495.1_FG002
Zm00001d023327	AC152495.1_FG003
Zm00001d023318	AC152495.1_FG010
Zm00001d023318	AC152495.1_FG012
Zm00001d023320	AC152495.1_FG017
Zm00001d003216	AC155352.2_FG001
Zm00001d012158	AC155376.2_FG004
Zm00001d012159	AC155376.2_FG005
Zm00001d044303	AC155377.1_FG001
Zm00001d044304	AC155377.1_FG002
Zm00001d028388	AC155390.2_FG002
Zm00001d022529	AC155434.2_FG001
Zm00001d022528	AC155434.2_FG003
Zm00001d022527	AC155434.2_FG004
Zm00001d022526	AC155434.2_FG005
Zm00001d022525	AC155434.2_FG006
Zm00001d013116	AC155496.2_FG009
Zm00001d042723	AC155610.2_FG007
Zm00001d042725	AC155610.2_FG009
Zm00001d039411	AC155622.2_FG001
Zm00001d039411	AC155622.2_FG004
Zm00001d027570	AC155624.2_FG006
Zm00001d027573	AC155624.2_FG011
Zm00001d013097	AC159612.1_FG007
Zm00001d041958	AC165171.2_FG002
Zm00001d005760	AC165178.2_FG004
Zm00001d028011	AC166636.1_FG007
Zm00001d028012	AC166636.1_FG008
Zm00001d028013	AC166636.1_FG009
Zm00001d003635	AC177831.3_FG004
Zm00001d004454	AC177833.2_FG001
Zm00001d027967	AC177850.2_FG005
Zm00001d005540	AC177860.4_FG002
Zm00001d006850	AC177893.3_FG003
Zm00001d006849	AC177893.3_FG006
Zm00001d033503	AC177897.2_FG002
Zm00001d018696	AC177897.2_FG022
Zm00001d020864	AC177897.2_FG029
Zm00001d034933	AC177899.2_FG009
Zm00001d034930	AC177899.2_FG012
Zm00001d030261	AC177905.2_FG003
Zm00001d029516	AC177908.3_FG002
Zm00001d003964	AC177924.2_FG001
Zm00001d003966	AC177924.2_FG003
Zm00001d034743	AC177926.2_FG003
Zm00001d034361	AC177936.6_FG008
Zm00001d013073	AC182413.4_FG002
Zm00001d040493	AC182439.4_FG004
Zm00001d040002	AC182482.3_FG003
Zm00001d041575	AC182617.3_FG001
Zm00001d040107	AC183315.4_FG006
Zm00001d040304	AC183319.3_FG001
Zm00001d054056	AC183888.4_FG008
Zm00001d040770	AC183927.3_FG004
Zm00001d013168	AC183932.3_FG007
Zm00001d012094	AC183950.2_FG002
Zm00001d012095	AC183950.2_FG003
Zm00001d012096	AC183950.2_FG004
Zm00001d012097	AC183950.2_FG005
Zm00001d054112	AC183968.2_FG001
Zm00001d042237	AC184112.4_FG010
Zm00001d053755	AC184130.4_FG005
Zm00001d053751	AC184130.4_FG012
Zm00001d046036	AC184133.3_FG001
Zm00001d049379	AC184169.3_FG001
Zm00001d051539	AC184172.3_FG001
Zm00001d044025	AC184765.4_FG005
Zm00001d050456	AC184794.2_FG003
Zm00001d053938	AC184831.3_FG003
Zm00001d053940	AC184831.3_FG005
Zm00001d053940	AC184831.3_FG008
Zm00001d013633	AC184857.2_FG006
Zm00001d021997	AC185108.3_FG006
Zm00001d022001	AC185108.3_FG010
Zm00001d022002	AC185108.3_FG011
Zm00001d052501	AC185126.3_FG006
Zm00001d015172	AC185130.2_FG004
Zm00001d015171	AC185130.2_FG005
Zm00001d052600	AC185217.3_FG004
Zm00001d052603	AC185217.3_FG007
Zm00001d051644	AC185226.4_FG001
Zm00001d050259	AC185254.4_FG002
Zm00001d053314	AC185265.3_FG003
Zm00001d044581	AC185276.2_FG006
Zm00001d053522	AC185300.4_FG002
Zm00001d049946	AC185305.3_FG003
Zm00001d006307	AC185415.3_FG005
Zm00001d051305	AC185422.3_FG005
Zm00001d016064	AC185427.5_FG004
Zm00001d053314	AC185443.3_FG004
Zm00001d017189	AC185460.3_FG004
Zm00001d052245	AC185466.3_FG001
Zm00001d051789	AC185471.3_FG005
Zm00001d052238	AC185478.4_FG005
Zm00001d017589	AC185487.4_FG001
Zm00001d052120	AC185501.3_FG001
Zm00001d052131	AC185501.3_FG006
Zm00001d029802	AC185593.3_FG003
Zm00001d032023	AC185611.3_FG001
Zm00001d051515	AC185623.4_FG010
Zm00001d051517	AC185623.4_FG012
Zm00001d016762	AC185648.3_FG007
Zm00001d003341	AC185655.3_FG004
Zm00001d003342	AC185655.3_FG005
Zm00001d014905	AC185656.3_FG002
Zm00001d051712	AC185660.3_FG003
Zm00001d019778	AC186013.3_FG001
Zm00001d051681	AC186147.3_FG008
Zm00001d012910	AC186166.3_FG008
Zm00001d031878	AC186231.4_FG002
Zm00001d027657	AC186233.3_FG007
Zm00001d030182	AC186283.4_FG002
Zm00001d052035	AC186287.7_FG005
Zm00001d027773	AC186417.3_FG004
Zm00001d031233	AC186524.3_FG005
Zm00001d035020	AC186577.3_FG006
Zm00001d011883	AC186579.3_FG007
Zm00001d035425	AC186585.4_FG002
Zm00001d036221	AC186592.3_FG003
Zm00001d030047	AC186602.4_FG003
Zm00001d030976	AC186603.6_FG003
Zm00001d031272	AC186606.4_FG003
Zm00001d043667	AC186669.3_FG002
Zm00001d033740	AC186684.4_FG001
Zm00001d052402	AC186743.4_FG003
Zm00001d021153	AC186781.4_FG006
Zm00001d021118	AC186800.3_FG005
Zm00001d011407	AC186815.3_FG003
Zm00001d008579	AC186897.4_FG016
Zm00001d005364	AC186902.4_FG009
Zm00001d009051	AC187065.3_FG003
Zm00001d022094	AC187072.4_FG002
Zm00001d036583	AC187080.3_FG006
Zm00001d019529	AC187082.3_FG003
Zm00001d022587	AC187098.4_FG011
Zm00001d008872	AC187157.4_FG001
Zm00001d008871	AC187157.4_FG002
Zm00001d008869	AC187157.4_FG005
Zm00001d010756	AC187243.3_FG005
Zm00001d031344	AC187262.4_FG007
Zm00001d008926	AC187263.4_FG001
Zm00001d036436	AC187283.3_FG005
Zm00001d008598	AC187393.3_FG001
Zm00001d024257	AC187404.3_FG006
Zm00001d010032	AC187551.3_FG002
Zm00001d018811	AC187560.5_FG003
Zm00001d037734	AC187567.4_FG004
Zm00001d011257	AC187782.4_FG009
Zm00001d045643	AC187789.3_FG001
Zm00001d038654	AC187802.3_FG008
Zm00001d045869	AC187809.3_FG005
Zm00001d008213	AC187818.3_FG004
Zm00001d023490	AC187843.3_FG001
Zm00001d023496	AC187843.3_FG006
Zm00001d023490	AC187843.3_FG010
Zm00001d037752	AC187887.3_FG008
Zm00001d023456	AC187891.3_FG006
Zm00001d038696	AC187896.3_FG006
Zm00001d048610	AC188003.3_FG012
Zm00001d039064	AC188023.3_FG005
Zm00001d024956	AC188195.2_FG003
Zm00001d024956	AC188195.2_FG004
Zm00001d024957	AC188195.2_FG005
Zm00001d045008	AC188583.4_FG003
Zm00001d037658	AC188710.4_FG006
Zm00001d021103	AC188718.3_FG011
Zm00001d002290	AC188831.3_FG005
Zm00001d038332	AC188838.3_FG005
Zm00001d039199	AC188978.3_FG008
Zm00001d044531	AC189060.4_FG007
Zm00001d051943	AC189280.3_FG001
Zm00001d021596	AC189750.4_FG004
Zm00001d047215	AC189770.3_FG002
Zm00001d009736	AC189792.3_FG005
Zm00001d026427	AC189795.3_FG001
Zm00001d046438	AC189879.3_FG003
Zm00001d005669	AC190035.1_FG005
Zm00001d009393	AC190225.2_FG001
Zm00001d007710	AC190480.1_FG007
Zm00001d033783	AC190496.1_FG002
Zm00001d033569	AC190498.1_FG007
Zm00001d004192	AC190507.1_FG007
Zm00001d016377	AC190526.3_FG004
Zm00001d052717	AC190609.3_FG001
Zm00001d052718	AC190609.3_FG002
Zm00001d052719	AC190609.3_FG003
Zm00001d052720	AC190609.3_FG004
Zm00001d052716	AC190609.3_FG005
Zm00001d004040	AC190613.3_FG001
Zm00001d043299	AC190623.3_FG001
Zm00001d043300	AC190623.3_FG002
Zm00001d052248	AC190628.4_FG007
Zm00001d000368	AC190630.2_FG001
Zm00001d051335	AC190632.2_FG004
Zm00001d012819	AC190636.3_FG005
Zm00001d051712	AC190638.3_FG001
Zm00001d018293	AC190643.4_FG011
Zm00001d040562	AC190652.3_FG001
Zm00001d040602	AC190665.3_FG006
Zm00001d002331	AC190685.3_FG005
Zm00001d012486	AC190688.3_FG006
Zm00001d013351	AC190716.3_FG001
Zm00001d013467	AC190734.2_FG003
Zm00001d029348	AC190740.2_FG004
Zm00001d047175	AC190743.3_FG012
Zm00001d051630	AC190749.3_FG006
Zm00001d001923	AC190750.2_FG014
Zm00001d052179	AC190751.4_FG008
Zm00001d030602	AC190763.3_FG002
Zm00001d005942	AC190771.2_FG003
Zm00001d006382	AC190788.2_FG005
Zm00001d001811	AC190792.2_FG006
Zm00001d027615	AC190799.2_FG010
Zm00001d005289	AC190807.2_FG001
Zm00001d012181	AC190812.3_FG006
Zm00001d012796	AC190834.3_FG005
Zm00001d003818	AC190858.3_FG004
Zm00001d052372	AC190885.4_FG006
Zm00001d014867	AC190909.3_FG004
Zm00001d033927	AC190915.3_FG007
Zm00001d014789	AC190922.3_FG007
Zm00001d039826	AC190933.3_FG004
Zm00001d020978	AC190985.3_FG006
Zm00001d016954	AC190990.2_FG005
Zm00001d005812	AC190999.2_FG004
Zm00001d034859	AC191009.3_FG004
Zm00001d029728	AC191042.4_FG001
Zm00001d013069	AC191048.2_FG006
Zm00001d030906	AC191049.3_FG007
Zm00001d003801	AC191050.3_FG003
Zm00001d009132	AC191069.3_FG004
Zm00001d009137	AC191069.3_FG007
Zm00001d048260	AC191071.3_FG001
Zm00001d052746	AC191097.3_FG007
Zm00001d005422	AC191107.4_FG002
Zm00001d002126	AC191113.2_FG002
Zm00001d004134	AC191115.3_FG002
Zm00001d016268	AC191147.3_FG002
Zm00001d016815	AC191246.3_FG006
Zm00001d013120	AC191251.3_FG005
Zm00001d047099	AC191253.3_FG004
Zm00001d021538	AC191264.3_FG002
Zm00001d023491	AC191279.2_FG001
Zm00001d023484	AC191279.2_FG003
Zm00001d004559	AC191283.3_FG004
Zm00001d021857	AC191401.3_FG009
Zm00001d038601	AC191401.3_FG013
Zm00001d052880	AC191412.3_FG005
Zm00001d049475	AC191523.3_FG001
Zm00001d018586	AC191526.3_FG004
Zm00001d019342	AC191534.3_FG003
Zm00001d040497	AC191551.3_FG003
Zm00001d049789	AC191564.3_FG003
Zm00001d034725	AC191575.2_FG001
Zm00001d039174	AC191622.3_FG003
Zm00001d042171	AC191650.3_FG003
Zm00001d013643	AC191676.3_FG011
